InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV010011,PROD1690,Monitor,2,2023-06-09,128.51,7668,UK
INV010011,PROD3746,Keyboard,2,2023-06-09,94.02,7668,UK
INV010011,PROD2984,Tablet,4,2023-06-09,41.38,7668,UK
INV010012,PROD1690,Monitor,1,2023-05-08,49.45,6450,France
INV010013,PROD7933,Bluetooth Speaker,1,2023-04-26,99.54,7776,USA
INV010013,PROD8790,Pen Set,1,2023-04-26,28.37,7776,USA
INV010013,PROD2354,Phone Case,4,2023-04-26,52.6,7776,USA
INV010014,PROD0523,Paper Clips,1,2024-01-09,17.65,8994,USA
INV010014,PROD5865,Mouse,2,2024-01-09,192.68,8994,USA
INV010014,PROD5377,Calendar,2,2024-01-09,140.78,8994,USA
INV010014,PROD0672,Stylus Pen,3,2024-01-09,63.67,8994,USA
INV010015,PROD6553,Water Bottle,2,2023-03-22,11.44,4696,USA
INV010015,PROD1690,Monitor,4,2023-03-22,182.11,4696,USA
INV010015,PROD2984,Tablet,3,2023-03-22,137.74,4696,USA
INV010015,PROD3746,Keyboard,1,2023-03-22,100.44,4696,USA
INV010016,PROD6553,Water Bottle,4,2023-07-17,51.34,6791,USA
INV010016,PROD3803,Charger,3,2023-07-17,161.61,6791,USA
INV010016,PROD7124,Desk Lamp,1,2023-07-17,128.3,6791,USA
INV010017,PROD8790,Pen Set,4,2024-01-30,104.1,1197,France
INV010018,PROD7933,Bluetooth Speaker,3,2023-12-15,143.67,3511,France
INV010018,PROD1962,Notebook,3,2023-12-15,49.17,3511,France
INV010018,PROD9731,USB Drive,4,2023-12-15,23.75,3511,France
INV010018,PROD0552,Desk Organizer,1,2023-12-15,139.73,3511,France
INV010019,PROD1615,Laptop,1,2023-02-08,45.77,6759,Canada
INV010020,PROD1496,Gaming Chair,4,2023-10-25,113.26,6534,USA
INV010020,PROD9673,Smartphone,4,2023-10-25,55.86,6534,USA
INV010021,PROD6663,Stapler,3,2023-09-11,71.11,6423,France
INV010021,PROD3803,Charger,3,2023-09-11,141.57,6423,France
INV010021,PROD3746,Keyboard,4,2023-09-11,179.94,6423,France
INV010022,PROD9673,Smartphone,1,2023-02-23,36.52,7295,Germany
INV010022,PROD1690,Monitor,2,2023-02-23,135.45,7295,Germany
INV010022,PROD2984,Tablet,2,2023-02-23,6.79,7295,Germany
INV010023,PROD4970,Tablet Cover,2,2023-04-09,99.69,3557,Canada
INV010023,PROD0672,Stylus Pen,3,2023-04-09,132.13,3557,Canada
INV010024,PROD4418,Webcam,4,2023-03-09,131.68,9352,USA
INV010024,PROD7933,Bluetooth Speaker,3,2023-03-09,145.58,9352,USA
INV010024,PROD9731,USB Drive,4,2023-03-09,115.82,9352,USA
INV010024,PROD1496,Gaming Chair,4,2023-03-09,104.22,9352,USA
INV010025,PROD2354,Phone Case,3,2023-01-22,178.95,4446,USA
INV010025,PROD0552,Desk Organizer,3,2023-01-22,89.71,4446,USA
INV010025,PROD1496,Gaming Chair,1,2023-01-22,103.01,4446,USA
INV010025,PROD7124,Desk Lamp,4,2023-01-22,135.44,4446,USA
INV010025,PROD3746,Keyboard,1,2023-01-22,43.07,4446,USA
INV010026,PROD1962,Notebook,4,2023-10-31,39.54,8996,USA
INV010027,PROD6553,Water Bottle,1,2023-02-15,186.02,3205,Canada
INV010028,PROD5377,Calendar,3,2023-06-30,64.61,1301,UK
INV010028,PROD9673,Smartphone,4,2023-06-30,170.97,1301,UK
INV010028,PROD4418,Webcam,4,2023-06-30,99.63,1301,UK
INV010028,PROD0672,Stylus Pen,2,2023-06-30,113.58,1301,UK
INV010029,PROD2984,Tablet,4,2023-02-23,135.87,6854,Germany
INV010029,PROD2354,Phone Case,3,2023-02-23,32.32,6854,Germany
INV010030,PROD7124,Desk Lamp,3,2024-01-21,143.24,1154,USA
INV010031,PROD0552,Desk Organizer,4,2023-06-19,183.08,8206,France
INV010032,PROD6553,Water Bottle,4,2024-01-26,141.88,6625,UK
INV010033,PROD9673,Smartphone,2,2023-05-22,23.33,5495,France
INV010033,PROD1496,Gaming Chair,3,2023-05-22,136.05,5495,France
INV010033,PROD4129,Power Bank,3,2023-05-22,95.79,5495,France
INV010033,PROD6663,Stapler,3,2023-05-22,196.46,5495,France
INV010034,PROD1496,Gaming Chair,2,2023-11-10,64.14,7293,France
INV010034,PROD0552,Desk Organizer,3,2023-11-10,29.78,7293,France
INV010035,PROD5865,Mouse,2,2023-03-01,15.08,4124,USA
INV010035,PROD0523,Paper Clips,4,2023-03-01,85.21,4124,USA
INV010035,PROD4129,Power Bank,3,2023-03-01,129.3,4124,USA
INV010035,PROD2984,Tablet,4,2023-03-01,30.89,4124,USA
INV010036,PROD2984,Tablet,3,2023-05-04,90.6,5465,Germany
INV010036,PROD0672,Stylus Pen,3,2023-05-04,53.92,5465,Germany
INV010036,PROD4970,Tablet Cover,2,2023-05-04,192.72,5465,Germany
INV010037,PROD9731,USB Drive,2,2023-05-07,35.51,3838,Germany
INV010037,PROD7124,Desk Lamp,2,2023-05-07,51.76,3838,Germany
INV010038,PROD9858,Screen Protector,4,2023-02-17,105.76,6237,USA
INV010039,PROD6553,Water Bottle,4,2023-10-05,35.94,1580,Germany
INV010039,PROD7852,Coffee Mug,2,2023-10-05,7.81,1580,Germany
INV010040,PROD2354,Phone Case,1,2023-02-16,97.46,6188,USA
INV010040,PROD7703,Headphones,2,2023-02-16,153.86,6188,USA
INV010040,PROD9673,Smartphone,1,2023-02-16,97.33,6188,USA
INV010040,PROD5377,Calendar,1,2023-02-16,95.61,6188,USA
INV010041,PROD6553,Water Bottle,2,2023-01-23,55.87,5452,USA
INV010041,PROD2354,Phone Case,2,2023-01-23,127.04,5452,USA
INV010041,PROD5377,Calendar,2,2023-01-23,102.7,5452,USA
INV010041,PROD1962,Notebook,4,2023-01-23,133.45,5452,USA
INV010042,PROD4970,Tablet Cover,4,2023-01-16,119.23,5611,USA
INV010043,PROD1962,Notebook,1,2023-06-01,163.18,1851,Germany
INV010044,PROD2984,Tablet,3,2023-09-25,43.18,6732,USA
INV010044,PROD7933,Bluetooth Speaker,1,2023-09-25,46.84,6732,USA
INV010045,PROD9673,Smartphone,2,2024-01-21,67.2,4373,USA
INV010046,PROD3803,Charger,2,2023-04-25,127.64,1417,USA
INV010047,PROD3746,Keyboard,4,2024-01-11,39.6,1412,Germany
INV010048,PROD6663,Stapler,2,2024-02-12,53.75,3504,France
INV010048,PROD5865,Mouse,4,2024-02-12,71.46,3504,France
INV010048,PROD1690,Monitor,2,2024-02-12,114.56,3504,France
INV010048,PROD7703,Headphones,4,2024-02-12,88.65,3504,France
INV010049,PROD1690,Monitor,1,2023-10-06,103.52,6644,Germany
INV010050,PROD0552,Desk Organizer,1,2023-12-08,170.19,1728,USA
INV010051,PROD4970,Tablet Cover,2,2023-10-11,128.21,5360,Canada
INV010051,PROD8790,Pen Set,1,2023-10-11,22.88,5360,Canada
INV010051,PROD3746,Keyboard,4,2023-10-11,69.09,5360,Canada
INV010052,PROD2984,Tablet,1,2023-02-22,101.41,6588,Germany
INV010052,PROD8790,Pen Set,3,2023-02-22,199.21,6588,Germany
INV010052,PROD0672,Stylus Pen,2,2023-02-22,91.1,6588,Germany
INV010052,PROD7852,Coffee Mug,3,2023-02-22,111.45,6588,Germany
INV010052,PROD2354,Phone Case,3,2023-02-22,27.83,6588,Germany
INV010053,PROD6553,Water Bottle,2,2023-01-09,21.4,7731,Germany
INV010053,PROD1615,Laptop,1,2023-01-09,48.4,7731,Germany
INV010053,PROD1496,Gaming Chair,1,2023-01-09,165.26,7731,Germany
INV010053,PROD5377,Calendar,2,2023-01-09,33.59,7731,Germany
INV010053,PROD1690,Monitor,1,2023-01-09,21.54,7731,Germany
INV010054,PROD1496,Gaming Chair,4,2023-05-25,78.37,2365,Canada
INV010054,PROD6553,Water Bottle,3,2023-05-25,98.93,2365,Canada
INV010054,PROD6663,Stapler,4,2023-05-25,113.89,2365,Canada
INV010054,PROD2354,Phone Case,3,2023-05-25,53.5,2365,Canada
INV010055,PROD6663,Stapler,4,2023-05-21,154.6,5268,UK
INV010055,PROD7124,Desk Lamp,3,2023-05-21,131.6,5268,UK
INV010055,PROD4129,Power Bank,1,2023-05-21,137.8,5268,UK
INV010055,PROD1690,Monitor,4,2023-05-21,192.62,5268,UK
INV010056,PROD3803,Charger,2,2024-01-04,161.41,2214,USA
INV010056,PROD4970,Tablet Cover,1,2024-01-04,194.13,2214,USA
INV010056,PROD4418,Webcam,1,2024-01-04,67.92,2214,USA
INV010056,PROD0672,Stylus Pen,4,2024-01-04,107.9,2214,USA
INV010056,PROD1615,Laptop,3,2024-01-04,184.23,2214,USA
INV010057,PROD7703,Headphones,1,2023-08-21,140.9,7190,USA
INV010058,PROD2354,Phone Case,4,2023-05-24,16.28,4330,Germany
INV010058,PROD7852,Coffee Mug,2,2023-05-24,93.85,4330,Germany
INV010059,PROD1496,Gaming Chair,4,2024-01-08,73.9,1667,USA
INV010059,PROD0552,Desk Organizer,2,2024-01-08,56.86,1667,USA
INV010060,PROD7124,Desk Lamp,1,2023-02-10,65.36,5964,USA
INV010061,PROD0672,Stylus Pen,1,2023-08-08,188.4,8891,USA
INV010061,PROD2984,Tablet,3,2023-08-08,146.52,8891,USA
INV010061,PROD4970,Tablet Cover,3,2023-08-08,184.24,8891,USA
INV010062,PROD7933,Bluetooth Speaker,3,2023-11-08,85.19,1009,France
INV010062,PROD6663,Stapler,2,2023-11-08,163.06,1009,France
INV010062,PROD4418,Webcam,4,2023-11-08,197.13,1009,France
INV010062,PROD6553,Water Bottle,3,2023-11-08,120.86,1009,France
INV010062,PROD7852,Coffee Mug,3,2023-11-08,81.63,1009,France
INV010063,PROD3746,Keyboard,3,2023-10-10,31.1,7970,UK
INV010064,PROD4129,Power Bank,2,2023-11-07,183.07,1404,France
INV010064,PROD9858,Screen Protector,3,2023-11-07,154.95,1404,France
INV010064,PROD1615,Laptop,1,2023-11-07,152.63,1404,France
INV010064,PROD1690,Monitor,3,2023-11-07,53.23,1404,France
INV010064,PROD7933,Bluetooth Speaker,2,2023-11-07,44.98,1404,France
INV010065,PROD7124,Desk Lamp,1,2023-02-20,152.61,3048,USA
INV010066,PROD9673,Smartphone,2,2023-04-05,155.6,4419,USA
INV010066,PROD5865,Mouse,3,2023-04-05,65.02,4419,USA
INV010067,PROD9673,Smartphone,1,2023-08-24,31.13,2077,UK
INV010068,PROD1962,Notebook,3,2024-02-11,46.53,4374,Germany
INV010068,PROD3746,Keyboard,2,2024-02-11,125.37,4374,Germany
INV010069,PROD3746,Keyboard,3,2023-10-21,181.31,7881,UK
INV010069,PROD5377,Calendar,4,2023-10-21,111.75,7881,UK
INV010069,PROD9858,Screen Protector,1,2023-10-21,157.81,7881,UK
INV010070,PROD3746,Keyboard,1,2023-01-30,33.68,6115,UK
INV010070,PROD6663,Stapler,4,2023-01-30,169.21,6115,UK
INV010070,PROD6553,Water Bottle,1,2023-01-30,55.36,6115,UK
INV010070,PROD7703,Headphones,4,2023-01-30,13.94,6115,UK
INV010070,PROD1496,Gaming Chair,2,2023-01-30,101.06,6115,UK
INV010071,PROD7852,Coffee Mug,3,2023-05-06,30.13,5300,UK
INV010072,PROD0672,Stylus Pen,3,2023-12-02,175.49,8350,USA
INV010073,PROD8790,Pen Set,3,2023-04-03,165.25,1666,Canada
INV010073,PROD4970,Tablet Cover,2,2023-04-03,59.33,1666,Canada
INV010073,PROD9731,USB Drive,1,2023-04-03,11.2,1666,Canada
INV010074,PROD6553,Water Bottle,1,2023-01-01,103.17,7981,UK
INV010074,PROD6663,Stapler,1,2023-01-01,67.71,7981,UK
INV010075,PROD5377,Calendar,3,2023-09-06,78.57,7937,UK
INV010075,PROD0552,Desk Organizer,1,2023-09-06,58.99,7937,UK
INV010075,PROD9731,USB Drive,1,2023-09-06,21.48,7937,UK
INV010076,PROD0552,Desk Organizer,4,2023-06-29,76.94,2276,USA
INV010076,PROD3803,Charger,4,2023-06-29,145.5,2276,USA
INV010077,PROD6553,Water Bottle,3,2023-01-14,169.67,7809,USA
INV010078,PROD0672,Stylus Pen,3,2023-08-27,52.28,7506,USA
INV010078,PROD7852,Coffee Mug,1,2023-08-27,148.79,7506,USA
INV010078,PROD1690,Monitor,4,2023-08-27,8.91,7506,USA
INV010079,PROD9673,Smartphone,1,2023-09-30,178.65,2976,USA
INV010079,PROD3746,Keyboard,4,2023-09-30,97.42,2976,USA
INV010079,PROD4129,Power Bank,2,2023-09-30,158.89,2976,USA
INV010079,PROD1615,Laptop,1,2023-09-30,98.52,2976,USA
INV010080,PROD1962,Notebook,4,2023-04-21,29.88,7371,Germany
INV010081,PROD6553,Water Bottle,3,2023-04-11,74.44,3472,USA
INV010081,PROD9673,Smartphone,1,2023-04-11,69.42,3472,USA
INV010082,PROD1962,Notebook,2,2023-05-30,41.38,2460,USA
INV010082,PROD9673,Smartphone,2,2023-05-30,162.14,2460,USA
INV010082,PROD1615,Laptop,4,2023-05-30,179.87,2460,USA
INV010082,PROD3746,Keyboard,3,2023-05-30,15.07,2460,USA
INV010083,PROD0552,Desk Organizer,4,2023-02-09,194.05,3590,Germany
INV010083,PROD7124,Desk Lamp,4,2023-02-09,6.03,3590,Germany
INV010084,PROD5865,Mouse,2,2024-01-04,113.57,1117,UK
INV010085,PROD9673,Smartphone,3,2023-10-27,43.9,7316,USA
INV010085,PROD3746,Keyboard,4,2023-10-27,52.27,7316,USA
INV010085,PROD5865,Mouse,3,2023-10-27,142.91,7316,USA
INV010085,PROD4129,Power Bank,2,2023-10-27,61.28,7316,USA
INV010086,PROD3746,Keyboard,3,2024-01-17,15.11,2828,USA
INV010086,PROD7852,Coffee Mug,2,2024-01-17,93.58,2828,USA
INV010086,PROD9673,Smartphone,1,2024-01-17,17.36,2828,USA
INV010087,PROD2354,Phone Case,3,2024-01-21,137.89,3219,USA
INV010088,PROD1496,Gaming Chair,2,2023-09-22,25.81,3832,UK
INV010088,PROD9858,Screen Protector,1,2023-09-22,166.97,3832,UK
INV010088,PROD9731,USB Drive,4,2023-09-22,84.66,3832,UK
INV010089,PROD1962,Notebook,3,2024-01-11,185.66,2908,Canada
INV010090,PROD5377,Calendar,1,2024-02-10,151.35,4391,USA
INV010090,PROD1962,Notebook,4,2024-02-10,36.91,4391,USA
INV010090,PROD9858,Screen Protector,1,2024-02-10,41.35,4391,USA
INV010091,PROD9673,Smartphone,1,2024-01-14,119.72,3898,UK
INV010092,PROD0523,Paper Clips,1,2023-06-28,74.3,7943,UK
INV010093,PROD9858,Screen Protector,2,2023-11-05,188.27,5033,Canada
INV010093,PROD0523,Paper Clips,3,2023-11-05,147.46,5033,Canada
INV010093,PROD4970,Tablet Cover,2,2023-11-05,32.16,5033,Canada
INV010094,PROD9731,USB Drive,4,2023-06-06,199.55,6742,UK
INV010094,PROD1690,Monitor,1,2023-06-06,65.79,6742,UK
INV010094,PROD1496,Gaming Chair,1,2023-06-06,156.82,6742,UK
INV010095,PROD4970,Tablet Cover,3,2023-09-11,152.15,3336,USA
INV010095,PROD7933,Bluetooth Speaker,2,2023-09-11,165.15,3336,USA
INV010095,PROD0672,Stylus Pen,3,2023-09-11,78.87,3336,USA
INV010095,PROD5377,Calendar,1,2023-09-11,29.86,3336,USA
INV010095,PROD5865,Mouse,4,2023-09-11,102.95,3336,USA
INV010096,PROD1496,Gaming Chair,2,2023-09-18,7.38,4719,UK
INV010096,PROD7124,Desk Lamp,3,2023-09-18,140.32,4719,UK
INV010096,PROD1690,Monitor,4,2023-09-18,144.65,4719,UK
INV010096,PROD5865,Mouse,3,2023-09-18,72.41,4719,UK
INV010096,PROD2984,Tablet,3,2023-09-18,192.02,4719,UK
INV010097,PROD5377,Calendar,1,2023-10-30,32.13,7166,USA
INV010097,PROD4129,Power Bank,2,2023-10-30,124.23,7166,USA
INV010098,PROD0523,Paper Clips,4,2023-04-14,140.85,8790,France
INV010098,PROD1690,Monitor,4,2023-04-14,9.49,8790,France
INV010098,PROD9673,Smartphone,3,2023-04-14,34.75,8790,France
INV010098,PROD9731,USB Drive,4,2023-04-14,78.01,8790,France
INV010099,PROD9731,USB Drive,3,2023-02-20,28.95,7024,Germany
INV010099,PROD6553,Water Bottle,1,2023-02-20,197.04,7024,Germany
INV010099,PROD0672,Stylus Pen,2,2023-02-20,41.33,7024,Germany
INV010100,PROD7703,Headphones,4,2023-11-09,123.54,4030,USA
INV010100,PROD4970,Tablet Cover,3,2023-11-09,15.68,4030,USA
INV010100,PROD4418,Webcam,1,2023-11-09,45.09,4030,USA
INV010101,PROD4970,Tablet Cover,2,2023-04-27,184.37,7456,UK
INV010102,PROD9673,Smartphone,4,2024-01-26,48.8,9577,USA
INV010103,PROD1496,Gaming Chair,4,2023-09-08,86.69,5971,USA
INV010103,PROD7124,Desk Lamp,4,2023-09-08,65.74,5971,USA
INV010103,PROD0552,Desk Organizer,1,2023-09-08,118.21,5971,USA
INV010104,PROD5865,Mouse,4,2023-06-03,94.5,5757,USA
INV010105,PROD7124,Desk Lamp,3,2023-04-28,121.1,5243,France
INV010106,PROD6553,Water Bottle,1,2024-01-14,12.13,3482,Germany
INV010106,PROD1615,Laptop,2,2024-01-14,168.13,3482,Germany
INV010106,PROD3746,Keyboard,3,2024-01-14,17.81,3482,Germany
INV010106,PROD6663,Stapler,2,2024-01-14,144.24,3482,Germany
INV010106,PROD9673,Smartphone,2,2024-01-14,107.26,3482,Germany
INV010107,PROD4418,Webcam,1,2023-04-23,70.2,6083,UK
INV010107,PROD4970,Tablet Cover,3,2023-04-23,189.49,6083,UK
INV010107,PROD9858,Screen Protector,4,2023-04-23,58.1,6083,UK
INV010107,PROD9731,USB Drive,3,2023-04-23,130.58,6083,UK
INV010108,PROD2984,Tablet,4,2023-03-28,10.28,4451,Canada
INV010108,PROD5865,Mouse,3,2023-03-28,54.51,4451,Canada
INV010108,PROD4418,Webcam,3,2023-03-28,136.02,4451,Canada
INV010108,PROD1615,Laptop,1,2023-03-28,121.03,4451,Canada
INV010108,PROD2354,Phone Case,1,2023-03-28,160.98,4451,Canada
INV010109,PROD7124,Desk Lamp,3,2023-02-20,52.42,7722,Germany
INV010109,PROD0552,Desk Organizer,2,2023-02-20,122.62,7722,Germany
INV010110,PROD4970,Tablet Cover,2,2024-02-04,62.16,3538,USA
INV010110,PROD0552,Desk Organizer,4,2024-02-04,21.95,3538,USA
INV010110,PROD5377,Calendar,2,2024-02-04,21.67,3538,USA
INV010110,PROD0523,Paper Clips,3,2024-02-04,170.38,3538,USA
INV010110,PROD6553,Water Bottle,4,2024-02-04,40.38,3538,USA
INV010111,PROD1496,Gaming Chair,4,2023-07-07,70.49,2308,Germany
INV010111,PROD0552,Desk Organizer,3,2023-07-07,79.04,2308,Germany
INV010111,PROD9858,Screen Protector,3,2023-07-07,11.67,2308,Germany
INV010111,PROD7703,Headphones,4,2023-07-07,126.71,2308,Germany
INV010111,PROD9731,USB Drive,2,2023-07-07,155.9,2308,Germany
INV010112,PROD3803,Charger,2,2023-12-21,115.33,8083,Canada
INV010113,PROD9731,USB Drive,1,2023-08-03,57.39,3106,Germany
INV010113,PROD5865,Mouse,4,2023-08-03,141.27,3106,Germany
INV010113,PROD1962,Notebook,1,2023-08-03,55.29,3106,Germany
INV010114,PROD5377,Calendar,1,2023-10-05,38.48,6877,France
INV010114,PROD6553,Water Bottle,3,2023-10-05,138.22,6877,France
INV010115,PROD5865,Mouse,2,2023-05-26,18.1,7981,UK
INV010116,PROD5377,Calendar,2,2023-06-02,32.3,6796,UK
INV010116,PROD4129,Power Bank,3,2023-06-02,180.5,6796,UK
INV010116,PROD5865,Mouse,2,2023-06-02,147.78,6796,UK
INV010116,PROD1962,Notebook,2,2023-06-02,122.1,6796,UK
INV010116,PROD9858,Screen Protector,1,2023-06-02,101.38,6796,UK
INV010117,PROD1962,Notebook,2,2023-07-09,148.92,3969,UK
INV010117,PROD8790,Pen Set,3,2023-07-09,22.62,3969,UK
INV010118,PROD7852,Coffee Mug,4,2023-10-09,183.53,6490,USA
INV010118,PROD3746,Keyboard,3,2023-10-09,62.94,6490,USA
INV010118,PROD4418,Webcam,3,2023-10-09,190.11,6490,USA
INV010119,PROD3746,Keyboard,2,2023-04-21,11.08,5150,Canada
INV010120,PROD3746,Keyboard,3,2023-09-01,70.18,2762,USA
INV010120,PROD1496,Gaming Chair,2,2023-09-01,97.48,2762,USA
INV010120,PROD9673,Smartphone,1,2023-09-01,19.65,2762,USA
INV010120,PROD2984,Tablet,1,2023-09-01,85.49,2762,USA
INV010120,PROD1690,Monitor,1,2023-09-01,139.24,2762,USA
INV010121,PROD1962,Notebook,4,2023-01-25,140.47,7185,USA
INV010121,PROD9673,Smartphone,2,2023-01-25,6.02,7185,USA
INV010121,PROD8790,Pen Set,4,2023-01-25,75.39,7185,USA
INV010121,PROD5865,Mouse,4,2023-01-25,162.45,7185,USA
INV010121,PROD3746,Keyboard,1,2023-01-25,31.68,7185,USA
INV010122,PROD6553,Water Bottle,4,2023-02-26,175.22,1329,UK
INV010122,PROD7852,Coffee Mug,4,2023-02-26,129.6,1329,UK
INV010123,PROD9731,USB Drive,1,2024-01-09,131.1,2750,UK
INV010123,PROD1496,Gaming Chair,3,2024-01-09,197.6,2750,UK
INV010124,PROD0552,Desk Organizer,3,2023-01-26,113.38,9044,USA
INV010125,PROD2984,Tablet,1,2023-09-07,42.56,4157,USA
INV010125,PROD4970,Tablet Cover,4,2023-09-07,194.36,4157,USA
INV010125,PROD0672,Stylus Pen,3,2023-09-07,160.09,4157,USA
INV010126,PROD7703,Headphones,3,2024-01-07,12.22,4294,France
INV010126,PROD1496,Gaming Chair,3,2024-01-07,76.12,4294,France
INV010127,PROD7124,Desk Lamp,4,2023-07-07,91.0,3667,UK
INV010127,PROD3803,Charger,3,2023-07-07,17.74,3667,UK
INV010127,PROD0672,Stylus Pen,3,2023-07-07,161.78,3667,UK
INV010128,PROD4129,Power Bank,2,2024-02-13,175.95,6468,Germany
INV010128,PROD6663,Stapler,2,2024-02-13,9.76,6468,Germany
INV010128,PROD3746,Keyboard,2,2024-02-13,198.12,6468,Germany
INV010128,PROD1615,Laptop,3,2024-02-13,175.57,6468,Germany
INV010128,PROD0672,Stylus Pen,1,2024-02-13,79.87,6468,Germany
INV010129,PROD8790,Pen Set,1,2024-01-14,12.33,4810,Canada
INV010130,PROD1962,Notebook,3,2023-08-24,87.16,1271,Canada
INV010131,PROD1615,Laptop,4,2023-01-03,144.53,4760,UK
INV010131,PROD3746,Keyboard,1,2023-01-03,13.21,4760,UK
INV010132,PROD7852,Coffee Mug,4,2023-03-14,191.5,9896,USA
INV010132,PROD2354,Phone Case,1,2023-03-14,158.34,9896,USA
INV010132,PROD7703,Headphones,3,2023-03-14,119.77,9896,USA
INV010132,PROD7933,Bluetooth Speaker,3,2023-03-14,176.43,9896,USA
INV010133,PROD1615,Laptop,4,2023-03-03,188.83,9202,UK
INV010133,PROD5865,Mouse,3,2023-03-03,49.96,9202,UK
INV010133,PROD3746,Keyboard,3,2023-03-03,104.97,9202,UK
INV010134,PROD3803,Charger,3,2023-08-14,166.11,8274,USA
INV010134,PROD9858,Screen Protector,1,2023-08-14,16.28,8274,USA
INV010135,PROD0552,Desk Organizer,1,2023-08-03,38.91,8214,France
INV010135,PROD3803,Charger,2,2023-08-03,105.47,8214,France
INV010136,PROD8790,Pen Set,4,2023-08-04,150.83,8312,France
INV010136,PROD0523,Paper Clips,1,2023-08-04,120.62,8312,France
INV010136,PROD7124,Desk Lamp,2,2023-08-04,172.72,8312,France
INV010136,PROD7852,Coffee Mug,3,2023-08-04,176.1,8312,France
INV010136,PROD1615,Laptop,3,2023-08-04,58.23,8312,France
INV010137,PROD7703,Headphones,4,2024-02-13,186.66,2218,France
INV010137,PROD4418,Webcam,3,2024-02-13,21.96,2218,France
INV010137,PROD1690,Monitor,4,2024-02-13,54.27,2218,France
INV010138,PROD9858,Screen Protector,2,2023-11-24,192.61,5133,Germany
INV010138,PROD9673,Smartphone,4,2023-11-24,138.24,5133,Germany
INV010139,PROD1690,Monitor,3,2023-03-22,165.81,5036,USA
INV010139,PROD5377,Calendar,4,2023-03-22,134.11,5036,USA
INV010139,PROD6553,Water Bottle,4,2023-03-22,115.32,5036,USA
INV010139,PROD7703,Headphones,1,2023-03-22,148.11,5036,USA
INV010139,PROD2354,Phone Case,4,2023-03-22,160.5,5036,USA
INV010140,PROD3803,Charger,1,2023-04-02,168.22,4239,France
INV010141,PROD1962,Notebook,1,2023-06-04,175.01,5286,Germany
INV010142,PROD0552,Desk Organizer,2,2023-01-23,182.2,6150,USA
INV010142,PROD4129,Power Bank,2,2023-01-23,164.5,6150,USA
INV010142,PROD9731,USB Drive,2,2023-01-23,152.54,6150,USA
